"doc_id","cluster_id","cluster_label","document"
"0","1","Models / Language Models / Language","Deep learning models achieve state-of-the-art results on image classification tasks."
"1","7","Security / Attacks / Software","Gradient descent optimizes neural network weights by minimizing the loss function."
"2","2","Model / Pretrained Model / Model Behaviour","Overfitting occurs when a model learns noise rather than the underlying signal."
"3","2","Model / Pretrained Model / Model Behaviour","Transfer learning reuses pretrained model weights for new downstream tasks."
"4","7","Security / Attacks / Software","Convolutional neural networks are particularly effective for spatial data like images."
"5","6","Training / Data / Sets","Batch normalization stabilizes training by normalizing activations per mini-batch."
"6","6","Training / Data / Sets","Dropout is a regularization technique that randomly zeroes activations during training."
"7","1","Models / Language Models / Language","Attention mechanisms allow models to focus on relevant parts of the input sequence."
"8","7","Security / Attacks / Software","The transformer architecture replaced recurrent networks for most NLP tasks."
"9","0","Carbon / Health / Heat","Hyperparameter tuning can be automated using Bayesian optimization or grid search."
"10","0","Carbon / Health / Heat","Support vector machines find the maximum-margin hyperplane between classes."
"11","0","Carbon / Health / Heat","Random forests aggregate predictions from many decision trees to reduce variance."
"12","0","Carbon / Health / Heat","XGBoost is a gradient-boosted tree implementation widely used in competitions."
"13","0","Carbon / Health / Heat","K-nearest neighbours classifies points by a majority vote of their k nearest points."
"14","0","Carbon / Health / Heat","Principal component analysis reduces dimensionality by projecting onto eigenvectors."
"15","0","Carbon / Health / Heat","Autoencoders learn compressed latent representations in an unsupervised manner."
"16","7","Security / Attacks / Software","Generative adversarial networks pit a generator against a discriminator."
"17","0","Carbon / Health / Heat","Reinforcement learning agents learn policies by maximizing cumulative reward."
"18","2","Model / Pretrained Model / Model Behaviour","The bias-variance tradeoff describes the tension between model flexibility and error."
"19","6","Training / Data / Sets","Cross-validation estimates model generalization by rotating training and test sets."
"20","0","Carbon / Health / Heat","Feature engineering transforms raw inputs into more predictive representations."
"21","0","Carbon / Health / Heat","Label smoothing softens hard targets to prevent overconfident predictions."
"22","6","Training / Data / Sets","Curriculum learning starts training on easy examples before moving to hard ones."
"23","0","Carbon / Health / Heat","Meta-learning aims to learn how to learn from small amounts of data."
"24","2","Model / Pretrained Model / Model Behaviour","Neural architecture search automates the design of model topologies."
"25","2","Model / Pretrained Model / Model Behaviour","Quantization reduces model size by representing weights in lower precision."
"26","1","Models / Language Models / Language","Pruning removes redundant neurons or connections to compress models."
"27","2","Model / Pretrained Model / Model Behaviour","Knowledge distillation trains a small student model to mimic a large teacher."
"28","0","Carbon / Health / Heat","Multi-task learning shares representations across related objectives."
"29","0","Carbon / Health / Heat","Contrastive learning pulls together similar samples and pushes apart dissimilar ones."
"30","0","Carbon / Health / Heat","Stock prices fluctuate based on supply and demand dynamics in equity markets."
"31","9","Risk / Events / Cardiovascular","Diversification reduces portfolio risk by spreading investments across asset classes."
"32","0","Carbon / Health / Heat","The Federal Reserve adjusts interest rates to control inflation and employment."
"33","0","Carbon / Health / Heat","Bond yields move inversely to bond prices in fixed-income markets."
